Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,timestamp,hour,day_of_week
23.7,26.272,585.2,749.2,0.0047641630241641,1,2023-01-01 00:00:00,0,6
23.718000000000004,26.29,578.4,760.4,0.0047726609921251,1,2023-01-01 01:00:00,1,6
23.73,26.23,572.666666666667,769.666666666667,0.0047651525524654,1,2023-01-01 02:00:00,2,6
23.7225,26.125,493.75,774.75,0.0047437733559968,1,2023-01-01 03:00:00,3,6
23.754,26.2,488.6,779.0,0.0047665939999861,1,2023-01-01 04:00:00,4,6
23.76,26.26,568.666666666667,790.0,0.0047793324316345,1,2023-01-01 05:00:00,5,6
23.73,26.29,536.333333333333,798.0,0.0047761363327489,1,2023-01-01 06:00:00,6,6
23.754,26.29,509.0,797.0,0.0047830937083903,1,2023-01-01 07:00:00,7,6
23.754,26.35,476.0,803.2,0.0047940939966204,1,2023-01-01 08:00:00,8,6
23.736,26.39,510.0,809.0,0.0047961887103893,1,2023-01-01 09:00:00,9,6
23.745,26.445,481.5,815.25,0.0048088862206771,1,2023-01-01 10:00:00,10,6
23.7,26.56,481.8,824.0,0.0048167933677358,1,2023-01-01 11:00:00,11,6
23.7,26.6,475.25,832.0,0.0048241038367487,1,2023-01-01 12:00:00,12,6
23.7,26.7,469.0,845.333333333333,0.0048423807553356,1,2023-01-01 13:00:00,13,6
23.7,26.774,464.0,852.4,0.0048559063612897,1,2023-01-01 14:00:00,14,6
23.7,26.89,464.0,861.0,0.0048771098371907,1,2023-01-01 15:00:00,15,6
23.7,26.9725,455.0,880.0,0.004892190768364,1,2023-01-01 16:00:00,16,6
23.6,26.89,454.0,891.0,0.0048475944139699,1,2023-01-01 17:00:00,17,6
23.64,26.976,458.0,897.6,0.0048750447811301,1,2023-01-01 18:00:00,18,6
23.65,27.05,464.0,900.5,0.0048914915892962,1,2023-01-01 19:00:00,19,6
23.64,27.1,473.0,908.8,0.0048976302434582,1,2023-01-01 20:00:00,20,6
23.6,27.16,464.0,918.0,0.0048966518452253,1,2023-01-01 21:00:00,21,6
23.6,27.236,498.4,925.2,0.0049104619885559,1,2023-01-01 22:00:00,22,6
23.6,27.29,530.2,929.4,0.0049202748285747,1,2023-01-01 23:00:00,23,6
23.6,27.33,533.6,936.4,0.0049275437970155,1,2023-01-02 00:00:00,0,0
23.6,27.34,524.25,950.0,0.0049293610654639,1,2023-01-02 01:00:00,1,0
23.625,27.3925,498.666666666667,961.0,0.0049464057474414,1,2023-01-02 02:00:00,2,0
23.6,27.39,516.333333333333,963.0,0.0049384475657387,1,2023-01-02 03:00:00,3,0
23.6,27.412,501.2,958.6,0.0049424457093031,1,2023-01-02 04:00:00,4,0
23.6,27.5,522.0,965.333333333333,0.0049584387935172,1,2023-01-02 05:00:00,5,0
23.6,27.525,520.5,979.25,0.0049629824321816,1,2023-01-02 06:00:00,6,0
23.6,27.6,505.2857142857141,978.428571428571,0.0049766137433226,1,2023-01-02 07:00:00,7,0
23.6,27.6,488.333333333333,983.0,0.0049766137433226,1,2023-01-02 08:00:00,8,0
23.6,27.54,512.0,992.6,0.0049657086469915,1,2023-01-02 09:00:00,9,0
23.6,27.6,511.0,997.2,0.0049766137433226,1,2023-01-02 10:00:00,10,0
23.6166666666667,27.6333333333333,501.5,999.5,0.0049877184213918,1,2023-01-02 11:00:00,11,0
23.6666666666667,27.7,503.666666666667,1001.0,0.0050150508609538,1,2023-01-02 12:00:00,12,0
23.6,27.7,483.166666666667,1009.5,0.0049947897469088,1,2023-01-02 13:00:00,13,0
23.6,27.7225,483.5,1019.0,0.0049988794929492,1,2023-01-02 14:00:00,14,0
23.6,27.79,473.0,1021.0,0.0050111490511946,1,2023-01-02 15:00:00,15,0
23.6,27.856666666666698,470.333333333333,1024.66666666667,0.0050232676047643,1,2023-01-02 16:00:00,16,0
23.6,27.804285714285697,480.142857142857,1030.42857142857,0.0050137458446678,1,2023-01-02 17:00:00,17,0
23.575,27.79,464.0,1026.25,0.0050035447484533,1,2023-01-02 18:00:00,18,0
23.54,27.81,474.4,1028.0,0.0049965380106032,1,2023-01-02 19:00:00,19,0
23.6,27.978,470.0,1034.8,0.0050453245744206,1,2023-01-02 20:00:00,20,0
23.525,28.0,454.0,1055.5,0.0050263667581946,1,2023-01-02 21:00:00,21,0
23.5,27.978,454.0,1055.25,0.0050147597241768,1,2023-01-02 22:00:00,22,0
23.5,28.0,454.0,1050.0,0.0050187348078695,1,2023-01-02 23:00:00,23,0
23.5,28.0,454.0,1051.25,0.0050187348078695,1,2023-01-03 00:00:00,0,1
23.5,28.0,445.0,1053.6,0.0050187348078695,1,2023-01-03 01:00:00,1,1
23.5,28.0,439.0,1055.5,0.0050187348078695,1,2023-01-03 02:00:00,2,1
23.5,28.025,444.25,1055.0,0.0050232520096096,1,2023-01-03 03:00:00,3,1
23.445,28.125,454.75,1059.5,0.0050244911474795,1,2023-01-03 04:00:00,4,1
23.39,28.18,455.8,1060.0,0.0050175822743852,1,2023-01-03 05:00:00,5,1
23.39,28.2,451.6,1073.6,0.0050211721163507,1,2023-01-03 06:00:00,6,1
23.39,28.2,451.6,1078.6,0.0050211721163507,1,2023-01-03 07:00:00,7,1
23.39,28.2,454.75,1081.0,0.0050211721163507,1,2023-01-03 08:00:00,8,1
23.39,28.2225,454.75,1082.0,0.0050252107376962,1,2023-01-03 09:00:00,9,1
23.39,28.373333333333303,457.5,1088.83333333333,0.0050522858020048,1,2023-01-03 10:00:00,10,1
23.37,28.39,464.0,1090.6,0.0050491295423263,1,2023-01-03 11:00:00,11,1
23.39,28.323333333333306,464.0,1086.0,0.0050433103834894,1,2023-01-03 12:00:00,12,1
23.373333333333303,28.445,464.0,1092.5,0.0050600170343187,1,2023-01-03 13:00:00,13,1
23.39,28.5,471.5,1103.75,0.0050750246789281,1,2023-01-03 14:00:00,14,1
23.323333333333306,28.5,475.666666666667,1104.5,0.0050544759894773,1,2023-01-03 15:00:00,15,1
23.365,28.5,471.5,1103.5,0.0050673102981129,1,2023-01-03 16:00:00,16,1
23.29,28.5,467.75,1112.0,0.005044229203962,1,2023-01-03 17:00:00,17,1
23.306666666666697,28.533333333333303,466.5,1105.66666666667,0.0050553039743009,1,2023-01-03 18:00:00,18,1
23.29,28.7,464.0,1104.0,0.0050799164023321,1,2023-01-03 19:00:00,19,1
23.29,28.7,467.0,1117.2,0.0050799164023321,1,2023-01-03 20:00:00,20,1
23.29,28.675,467.75,1121.25,0.0050754552803882,1,2023-01-03 21:00:00,21,1
23.29,28.6166666666667,466.5,1115.66666666667,0.0050650462426913,1,2023-01-03 22:00:00,22,1
23.29,28.66,459.0,1120.0,0.0050727786376892,1,2023-01-03 23:00:00,23,1
23.29,28.55,464.0,1123.75,0.0050531506227436,1,2023-01-04 00:00:00,0,2
23.29,28.6,470.0,1116.0,0.0050620722953919,1,2023-01-04 01:00:00,1,2
23.272,28.6,464.0,1126.8,0.0050565269530437,1,2023-01-04 02:00:00,2,2
23.2,28.4175,464.0,1112.75,0.0050020157084315,1,2023-01-04 03:00:00,3,2
23.23,28.5,449.0,1104.5,0.0050258311747689,1,2023-01-04 04:00:00,4,2
23.29,28.5,464.0,1108.0,0.005044229203962,1,2023-01-04 05:00:00,5,2
23.215,28.6333333333333,462.333333333333,1127.83333333333,0.005044922648211,1,2023-01-04 06:00:00,6,2
23.2,28.6,469.0,1128.75,0.0050343991523748,1,2023-01-04 07:00:00,7,2
23.2,28.65,469.0,1124.25,0.0050432719125794,1,2023-01-04 08:00:00,8,2
23.2,28.62,469.0,1130.4,0.0050379482263243,1,2023-01-04 09:00:00,9,2
23.2,28.7,464.0,1138.0,0.0050521449238929,1,2023-01-04 10:00:00,10,2
23.2,28.7,456.5,1144.0,0.0050521449238929,1,2023-01-04 11:00:00,11,2
23.2,28.718000000000004,457.0,1140.0,0.0050553392694394,1,2023-01-04 12:00:00,12,2
23.2,28.79,450.25,1139.25,0.005068116977086,1,2023-01-04 13:00:00,13,2
23.2,28.79,446.0,1167.33333333333,0.005068116977086,1,2023-01-04 14:00:00,14,2
23.14,28.79,451.6,1159.6,0.0050496184097586,1,2023-01-04 15:00:00,15,2
23.15,28.89,454.75,1157.75,0.0050703906066678,1,2023-01-04 16:00:00,16,2
23.15,28.89,448.0,1159.5,0.0050703906066678,1,2023-01-04 17:00:00,17,2
23.18,28.83,444.0,1156.4,0.0050690343893298,1,2023-01-04 18:00:00,18,2
23.1166666666667,28.945,444.0,1160.0,0.0050698094671644,1,2023-01-04 19:00:00,19,2
23.14,28.956,444.0,1169.8,0.005078971703222,1,2023-01-04 20:00:00,20,2
23.1,29.0,444.0,1176.16666666667,0.0050743621264266,1,2023-01-04 21:00:00,21,2
23.1,29.075,444.0,1175.25,0.0050875928180122,1,2023-01-04 22:00:00,22,2
23.1,28.918000000000003,444.0,1166.6,0.0050598972091709,1,2023-01-04 23:00:00,23,2
23.1,27.925,444.0,1140.25,0.0048847835460129,1,2023-01-05 00:00:00,0,3
23.06,27.772,444.0,1089.2,0.0048459789069634,1,2023-01-05 01:00:00,1,3
23.02,27.555999999999997,435.0,1042.6,0.0047962839959834,1,2023-01-05 02:00:00,2,3
23.01,27.818833333333306,432.0,1051.1,0.0048394350981285,1,2023-01-05 03:00:00,3,3
23.0,28.0816666666667,429.0,1059.6,0.0048825379151409,1,2023-01-05 04:00:00,4,3
23.0,27.956,429.0,1064.6,0.0048605176079969,1,2023-01-05 05:00:00,5,3
22.981666666666698,27.908333333333303,429.0,1061.66666666667,0.0048467414948576,1,2023-01-05 06:00:00,6,3
23.0,27.926666666666694,429.0,1058.33333333333,0.004855377812048,1,2023-01-05 07:00:00,7,3
23.0,28.018,429.0,1061.6,0.0048713815449675,1,2023-01-05 08:00:00,8,3
22.981666666666698,28.0666666666667,429.0,1070.33333333333,0.0048744541729969,1,2023-01-05 09:00:00,9,3
22.945,28.1,429.0,1074.0,0.0048693812467042,1,2023-01-05 10:00:00,10,3
23.0,28.1,429.0,1086.25,0.0048857505561061,1,2023-01-05 11:00:00,11,3
22.956,28.2,429.0,1089.6,0.0048901279569683,1,2023-01-05 12:00:00,12,3
22.9725,28.1,429.0,1085.0,0.0048775598425921,1,2023-01-05 13:00:00,13,3
22.945,28.1333333333333,429.0,1085.0,0.004875202773628,1,2023-01-05 14:00:00,14,3
23.0,28.2,429.0,1088.0,0.0049032746319414,1,2023-01-05 15:00:00,15,3
22.945,28.2,429.0,1091.75,0.0048868461518572,1,2023-01-05 16:00:00,16,3
23.0,28.1333333333333,429.0,1091.33333333333,0.0048915918058596,1,2023-01-05 17:00:00,17,3
22.912,28.1,429.0,1088.2,0.0048595829050556,1,2023-01-05 18:00:00,18,3
22.89,28.1,429.0,1087.5,0.0048530603457478,1,2023-01-05 19:00:00,19,3
22.89,27.956,432.0,1079.2,0.0048279975297729,1,2023-01-05 20:00:00,20,3
22.865,27.84,432.75,1077.25,0.0048004764264941,1,2023-01-05 21:00:00,21,3
22.873333333333303,27.6833333333333,439.0,1064.16666666667,0.0047756842425233,1,2023-01-05 22:00:00,22,3
22.873333333333303,27.6,429.0,1056.4,0.0047611982687734,1,2023-01-05 23:00:00,23,3
22.89,27.6,432.75,1043.6,0.0047660452801114,1,2023-01-06 00:00:00,0,4
22.815,27.445,432.75,1039.5,0.0047174223493656,1,2023-01-06 01:00:00,1,4
22.84,27.373333333333303,436.5,1028.66666666667,0.004712199539953,1,2023-01-06 02:00:00,2,4
22.79,27.365,438.0,1020.4,0.0046963904496108,1,2023-01-06 03:00:00,3,4
22.79,27.2,444.0,1018.0,0.0046678605840467,1,2023-01-06 04:00:00,4,4
22.79,27.1714285714286,435.428571428571,1015.14285714286,0.0046629206114276,1,2023-01-06 05:00:00,5,4
22.79,27.0666666666667,434.0,1006.33333333333,0.0046448080448021,1,2023-01-06 06:00:00,6,4
22.79,27.02,432.0,1002.6,0.0046367400567453,1,2023-01-06 07:00:00,7,4
22.772,26.934,438.0,993.2,0.0046167934930926,1,2023-01-06 08:00:00,8,4
22.76,26.823333333333306,439.0,983.333333333333,0.0045943146206481,1,2023-01-06 09:00:00,9,4
22.7,26.754,432.0,976.2,0.0045655827670159,1,2023-01-06 10:00:00,10,4
22.7225,26.7,432.75,980.75,0.0045625692636427,1,2023-01-06 11:00:00,11,4
22.7,26.6833333333333,434.0,971.333333333333,0.0045534351851525,1,2023-01-06 12:00:00,12,4
22.7,26.533333333333303,444.0,966.666666666667,0.0045276517846181,1,2023-01-06 13:00:00,13,4
22.7,26.463333333333303,444.0,963.0,0.0045156202572285,1,2023-01-06 14:00:00,14,4
22.7,26.445,441.5,952.333333333333,0.0045124692192727,1,2023-01-06 15:00:00,15,4
22.7,26.34,444.0,948.0,0.0044944229761162,1,2023-01-06 16:00:00,16,4
22.7,26.26,444.0,945.0,0.004480674155299,1,2023-01-06 17:00:00,17,4
22.7,26.2,441.0,941.6,0.0044703629356959,1,2023-01-06 18:00:00,18,4
22.7,26.16,438.0,929.8,0.0044634889778606,1,2023-01-06 19:00:00,19,4
22.7,26.02,441.0,923.8,0.0044394313133292,1,2023-01-06 20:00:00,20,4
22.7,26.1,440.25,919.0,0.0044531783239453,1,2023-01-06 21:00:00,21,4
22.7,26.0,439.0,918.25,0.0044359946549457,1,2023-01-06 22:00:00,22,4
22.7,25.934,438.0,919.4,0.0044246539498072,1,2023-01-06 23:00:00,23,4
22.7,25.926666666666694,439.0,927.333333333333,0.004423393896805,1,2023-01-07 00:00:00,0,5
22.7,25.815,432.75,920.25,0.0044042073523612,1,2023-01-07 01:00:00,1,5
22.68,25.772,432.0,902.4,0.0043914494315009,1,2023-01-07 02:00:00,2,5
22.64,25.696,429.0,904.4,0.0043677176082215,1,2023-01-07 03:00:00,3,5
22.6,25.575,429.0,897.0,0.0043363901007296,1,2023-01-07 04:00:00,4,5
